Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"R3,R4,R5,R6",0201WMF1001TCE,4
"R11,R12,R13,R14,R15",0201WMF1003TCE,5
"R22,R24,R26,R27,R31,R32",0201WMJ0512TCE,6
L3,303010114,1
"D1,D9",304040005,2
U7,310010095,1
J2,320010007,1
"J4,J5,J6,J7,J8,J9,J10,J11",320110054,8
J3,320120003,1
"Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13",AO4468,10
"SW1,SW2",B3F-1052,2
U1,BQ24780S,1
U2,BQ294706DSGR,1
U4,BQ40Z50RSMT-R2,1
"C8,C10,C11,C48,C49,C50",CC0805KKX5R8BB106,6
"C4,C7,C9,C12,C13,C14,C15,C44",CL21A226MAQNNNE,8
U6,ESP32-WROOM-32U,1
U5,LM5175PWPR,1
L1,MWSA0603-2R2MT,1
L2,MWSA0603S-2R2MT,1
TH1,NCP18WF104F03,1
"TH2,TH3,TH4,TH5",NXRT15WB473FA1B030,4
"C16,C17",RVT1V221M0810,2
U8,TPS54202HDDCR,1
J1,TYPE-C-31-M-17,1
