Ref,Val,Package,PosX,PosY,Rot,Side
"C16","470u","C_Elec_10x10.2",56.230000,-16.540000,180.000000,top
"C40","470u","C_Elec_10x10.2",94.540000,-37.090000,90.000000,top
"C89","470u","C_Elec_10x10.2",72.930000,-52.620000,0.000000,top
"C127","470u","C_Elec_10x10.2",52.380000,-63.080000,0.000000,top
"C147","470u","C_Elec_10x10.2",39.970000,-60.450000,180.000000,top
"C149","470u","C_Elec_10x10.2",34.980000,-27.200000,270.000000,top
"C155","470u","C_Elec_10x10.2",28.260000,-5.140000,180.000000,top
"D1","ESDA6V8AV6","SOT-563",88.190000,-5.580000,180.000000,top
"D10","ESDA6V8AV6","SOT-563",12.610000,-6.910000,0.000000,top
"D11","NUP3105LT1G","SOT-23",13.040000,-9.850000,0.000000,top
"D20","ESDA6V8AV6","SOT-563",44.100000,-8.440000,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",5.300000,-6.540000,270.000000,top
"J2","ST-USB-003A","USB3_A_Plug_Wuerth_692112030100_Horizontal",43.660000,-3.290000,90.000000,top
"J4","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",29.378400,-76.611600,0.000000,top
"J5","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",35.455771,-76.611600,0.000000,top
"J6","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",41.533142,-76.611600,0.000000,top
"J7","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",47.610513,-76.611600,0.000000,top
"J8","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",53.687884,-76.611600,0.000000,top
"J9","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",59.765255,-76.611600,0.000000,top
"J10","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",65.842626,-76.611600,0.000000,top
"J11","JST 2P-1.0","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",71.920000,-76.611600,0.000000,top
"J12","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical_SMD",4.660000,-75.640000,0.000000,top
"J15","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",95.430000,-5.570000,90.000000,top
"L1","MWSA1004-2R2MT","L_10.3x11.5_H4",81.040000,-30.920000,180.000000,top
"L2","MWSA1004-2R2MT","L_10.3x11.5_H4",47.850000,-42.580000,270.000000,top
"L3","6.8uH 47mO SWPA6028S6R8MT ","L_Taiyo-Yuden_NR-60xx",4.270000,-19.320000,270.000000,top
"L4","6.8uH 47mO SWPA6028S6R8MT ","L_Taiyo-Yuden_NR-60xx",58.390000,-7.110000,180.000000,top
"Q2","2n7002K","SOT-23",97.230000,-62.080000,0.000000,top
"Q7","2n7002K","SOT-23",76.570000,-74.870000,270.000000,top
"Q14","2n7002K","SOT-23",70.140000,-31.860000,0.000000,top
"Q21","2N7002","SOT-23",24.850000,-12.490000,0.000000,top
"Q25","2n7002K","SOT-23",6.570000,-69.500000,0.000000,top
"Q29","2N7002","SOT-23",20.900000,-22.030000,0.000000,top
"R23","0.001","R_1206_3216Metric",94.270000,-59.040000,90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",66.425000,-61.300000,180.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",76.555000,-61.330000,0.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",35.395000,-39.100000,0.000000,top
"SW4","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",26.395000,-67.510000,0.000000,top
"TH1","NCP18WF104F03","R_0805_2012Metric",74.130000,-71.437500,270.000000,top
"U2","BQ294706DSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",96.994800,-67.582400,90.000000,top
"U4","BQ40Z50","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm",89.630000,-73.980000,180.000000,top
"U10","ESP32-WROOM-32U","ESP32-WROOM-32U",8.355000,-33.960000,90.000000,top
"U11","STUSB4500","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm",81.970000,-5.440000,0.000000,top
"U16","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",-34.910000,-53.180000,0.000000,top
"Y1","Q13FC1350000400","Crystal_SMD_3215-2Pin_3.2x1.5mm",2.780000,-65.110000,0.000000,top
"Y2","24MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",7.330000,-65.960000,180.000000,top
"Y3","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-28.060000,-49.680000,0.000000,top
